Category,Scale,Database Entity,Ontology Label,Source File,Entry Type,FieldName,Testname,Type,Data Type,Flip Axis,Ordinal Sort
Project,,project,Project,project.csv,Property,Project,Project,Char,Categorical,,
Project,,study,Study,project.csv,Property,Study,Study,Char,Categorical,,
Project,,project,Disease,project.csv,Property,Disease,Disease,Char,Categorical,,
Project,,study,description,project.csv,Property,StudyDescription,StudyDescription,Char,Categorical,,
Project,,project,description,project.csv,Property,ProjectDescription,ProjectDescription,Char,Categorical,,
Demographics,,subject,subject_num,ppmi_demographics.csv,Property,SubjectNum,SubjectNum,Char,Categorical,,
Demographics,,subject_ontology,Race,ppmi_demographics.csv,Property,Race,Race,Char,Categorical,,
Demographics,,subject_ontology,Birthdate,ppmi_demographics.csv,Property,BirthDate,BirthDate,Date,Continuous,,
Demographics,,subject_ontology,Sex,ppmi_demographics.csv,Property,Sex,Sex,Char,Categorical,,
Demographics,,subject_ontology,Age At Enrollment,ppmi_demographics.csv,Property,AgeAtEnrollment,AgeAtEnrollment,Decimal,Continuous,,
HealthSummary,,subject_ontology,Disease Status,ppmi_demographics.csv,Property,DiseaseStatus,DiseaseStatus,Char,Categorical,,
HealthSummary,,subject_ontology,Age At Diagnosis,ppmi_demographics.csv,Property,AgetAtDiagnosis,AgetAtDiagnosis,Decimal,Continuous,,
HealthSummary,,subject_ontology,Disease Duration,ppmi_demographics.csv,Property,DX_Duration,DX_Duration,Decimal,Continuous,,
HealthSummary,,subject_ontology,Enroll Date,ppmi_demographics.csv,Property,EnrollDate,EnrollDate,Date,Continuous,,
HealthSummary,,subject_ontology,Diagnosis Date,ppmi_demographics.csv,Property,DXDate,DXDate,Date,Continuous,,
SubjectVisit,,subject_visit,event_date,ppmi_visit_info.csv,Property,VisitDate,VisitDate,Date,Continuous,,
SubjectVisit,,subject_visit,visit_event,ppmi_visit_info.csv,Property,VisitCode,VisitCode,Char,Ordinal,,"BL,PW,RS1,SC,ST,U01,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16"
SubjectVisit,,subject_visit,visit_num,ppmi_visit_info.csv,Property,VisitNumber,VisitNumber,Integer,Ordinal,,
Cognitive,,observation_ontology,Semantic Fluency,ppmi_obs_long.csv,Observation,Testname,SemanticFluency,Decimal,Continuous,1,
Cognitive,,observation_ontology,Benton Judgment of Line Orientation,ppmi_obs_long.csv,Observation,Testname,BentonJudgment,Decimal,Continuous,1,
General Disease Severity,MDS-UPDRS,observation_ontology,MDS-UPDRS Part I,ppmi_obs_long.csv,Observation,Testname,MDS_UPDRS_1,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_ontology,MDS-UPDRS Part II,ppmi_obs_long.csv,Observation,Testname,MDS_UPDRS_2,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_ontology,MDS-UPDRS Part III,ppmi_obs_long.csv,Observation,Testname,MDS_UPDRS_3,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_ontology,MDS-UPDRS Total (Part I-III),ppmi_obs_long.csv,Observation,Testname,MDS_UPDRS_Total,Decimal,Continuous,0,
Cognitive,,observation_ontology,Montreal Cognitive Assessment,ppmi_obs_long.csv,Observation,Testname,MOCA,Decimal,Continuous,1,
Cognitive,,observation_ontology,Line Number sequencing,ppmi_obs_long.csv,Observation,Testname,LNS_Total_Raw,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_ontology,HVLT-Total Recall,ppmi_obs_long.csv,Observation,Testname,DVT_Total_Recall,Decimal,Continuous,1,
